Bid Number,School,Debater 1,Debater 2,Year
10,Boston College,John Meany,Mike Reilly,1975
11,University of Kentucky,Gil Skillman,Mary Thomson,1975
12,Boston University,Michael Heath,Ted Olsen,1975
13,Kansas,Frank Cross,Robin Rowland,1975
14,West Georgia,Geoge Knapp,Jean-Pierre Sakey,1975
15,Macalester,Jeanne Forneris,Richard Lesicko,1975
16,Wake Forest,Kevin Quinley,Roger Solt,1975
,,,,
1,Augustana IL,Bob Feldhake,Rick Godfrey,1976
2,Georgetown,Tom Rollins,John Walker,1976
3,Harvard,Mark Helm,L. Jeffrey Pash,1976
4,University of Kentucky,Gerald Oberst,Gilbert Skillman,1976
5,Kansas,Frank Cross,Robin Rowland,1976
6,Redlands,Mark Fabiani,Phil Zelikow,1976
7,Catholic,Chris Mooney,Geoff Ringer,1976
8,Kansas,Jim Prentice,Phil Snow,1976
9,Northwestern,Louis Kaplow,Alan Loewinsohn,1976
10,Wake Forest,Mary Thomson McLean,Todd Woodbury,1976
11,Utah,Kelley Beck,Robert Bentley,1976
12,UCLA,Andy Demetriou,Mike Hartmann,1976
13,USC,Mike Devlin,Larry Solum,1976
14,Wake Forest,John Graham,Roger Solt,1976
15,Houston,Mike Lee,Barbara Radnofsky,1976
16,Emporia,Joe Fellers,Marjorie Keeshan,1976
,,,,
1,Georgetown,David Ottoson,John Walker,1977
2,Kansas,Frank Cross,Robin Rowland,1977
3,USC,Steven Combs,Leslie Sherman,1977
4,Harvard,Helm,Jeff Pash,1977
5,University of Kentucky,Jerry Oberst,Gil Skillman,1977
6,Northwestern,David Love,Stuart Singer,1977
7,Macalester,Bob Phelps,Kit Pierson,1977
8,Georgia,John Bow,Don Lively,1977
9,Emory,David Klimchak,Joe Tankersley,1977
10,USC,Jon Cassanelli,Jeff Lorenzen,1977
11,Redlands,Mark Fabiani,Paul McNamara,1977
12,Arizona,Joe Demer,Greg Osborne,1977
13,North Carolina,Walker Smith,David Williams,1977
14,Harvard,Bert Bernheim,Stan Dorn,1977
15,Macalester,Ron Kammer,William Piels,1977
16,Catholic,Tony Corrado,David Shattuck,1977
,,,,
1,Georgetown,David Ottoson,Tom Rollins,1978
2,Northwestern,Mark Cotham,Stuart Singer,1978
3,Redlands,Mark Fabiani,Mark Warfel,1978
4,USC,Jon Cassanelli,Steven Combs,1978
5,Alabama,Fred Fohrell,John Mandt,1978
6,Harvard,Michael King,Alfred Metz,1978
7,Canisius College,Robert Schwab,Richard Werder,1978
8,Wake Forest,John Graham,Ross Smith,1978
9,Houston,Darryl Carter,Philip Durst,1978
10,Macalester,Bob Phelps,Kit Pierson,1978
11,Northwestern,Tom Fulkerson,Chris Wonnell,1978
12,Dartmouth,Robert Meadow,Steve Parker,1978
13,Fullerton,Leon Harris,Thomas Moore,1978
14,Morehead State,Michael Bryant,Michael Shelton,1978
15,Utah,Rene Lastreto,Mike Nash,1978
16,Eastern Illinois,Marian Bollinger,Jim Curtis,1978
,,,,
1,Northwestern,Susan Winkley,Chris Wonnell,1979
2,Harvard,William Foutz,Sandra Seville-Jones,1979
3,Central Florida,Jeff Liddicoat,Barry Ragsdale,1979
4,West Georgia,Randy Evans,Paul Weathington,1979
5,Redlands,Mark Fabiani,Mark Warfel,1979
6,Northwestern,Mark Cotham,Don Dripps,1979
7,Morehead State,Dwaine Hemphill,Michael Shelton,1979
8,Harvard,John Bredehoft,Michael King,1979
9,Kansas,Kevin Fowler,Steve Griffin,1979
10,USC,Maerowitz,Mohr,1979
11,Georgetown,James Kirkland,John Thompson,1979
12,Dartmouth,Thomas Isaacson,Stephen Meagher,1979
13,SW Louisana,Arceneaux,Beyer,1979
14,Mercer,Ronald Hill,John Watkins,1979
15,Arizona,Robert Charles,Ann Hardy,1979
16,Eastern Illinois,Allen Bucknell,Jim Curtis,1979
,,,,
1,Georgetown,James Kirkland,John Thompson,1980
2,Dartmouth,Thomas Isaacson,Stephen Meagher,1980
3,Harvard,John Bredehoft,William Foutz,1980
4,University of Kentucky,Jeff Jones,Steve Mancuso,1980
5,Northwestern,Don Dripps,Tom Fulkerson,1980
6,Redlands,Lane Bearden,Bill Isaacson,1980
7,Central Florida,Jeff Liddicoat,Barry Ragsdale,1980
8,Augustana IL,Dean Hammer,Kyle Pasewark,1980
9,Wayne State,Kevin Buchanan,Scott Harris,1980
10,Morehead State,Michael Bryant,Dwaine Hemphill,1980
11,Lewis & Clark,Mike Alberty,Mike Allen,1980
12,West Georgia,Randy Evans,Paul Weathington,1980
13,Louisville,Dave Sutherland,Dan Sutherland,1980
14,Pittsburgh,Stephen Marzen,Mark Reed,1980
15,USC,Rick Rollino,Kelli Sager,1980
16,Utah,Brad Meryhew,Martin Sadler,1980
,,,,
1,Dartmouth,Cy Smith,Mark Weinhardt,1981
2,University of Kentucky,Jeff Jones,Steve Mancuso,1981
3,West Georgia,Kelli Sager,Paul Weathington,1981
4,Pittsburgh,Michael Alberty,Stephen Marzen,1981
5,Louisville,Dave Sutherland,Dan Sutherland,1981
6,Wayne State,David Debold,Scott Harris,1981
7,Redlands,Bill Isaacson,Jeff Wagner,1981
8,Bates,Barry Boss,Michael Laurence,1981
9,Arizona,Elaine Charlson,Gerry Paul,1981
10,West Georgia,Jeff Arrington,Cary Ichter,1981
11,Augustana IL,Dean Hammer,Kyle Paseewark,1981
12,Redlands,Chuck Ballingall,Lee Silver,1981
13,Dartmouth,Robin Jacobsohn,Tom Lyon,1981
14,Georgetown,John Barrett,Paul Bland,1981
15,Samford,John McWhorter,Erik Walker,1981
16,Southwestern,Carik Tutzauer,Frank Tutzauer,1981
,,,,
1,Kansas,Mark Gidley,Zak Grant,1982
2,West Georgia,Jeff Arrington,Alex Peragine,1982
3,University of Kentucky,Steve Mancuso,Condon McGlothlen,1982
4,Redlands,Bill Isaacson,Jeff Wagner,1982
5,Louisville,Dave Sutherland,Dan Sutherland,1982
6,Dartmouth,Robin Jacobsohn,Mark Weinhardt,1982
7,Arizona,Steve Goldstein,Gerry Paul,1982
8,Samford,Melanie Gardner,Erik Walker,1982
9,Georgetown,John Barrett,Paul Bland,1982
10,Loyola Marymount,Doug Cotton,Jeff Thomas,1982
11,Kansas,Paul Leader,Rodger Payne,1982
